keys,en,fr,zh,ja,ko,zh_TW,ru,pl,es,pt,de,tr,it
CHARACTER_FANTASY_PALADIN,Paladin,Paladin,圣骑士,パラディン,성기사,聖騎士,Паладин,Paladyn,Paladín,Paladino,Paladin,Paladin,Paladino
STAT_FANTASY_PET_ATTACK_SPEED,% Pet Attack Speed,% Vitesse d'attaque des familiers,%宠物攻击速度,%ペット攻撃速度,% 펫 공격 속도,%寵物攻擊速度,% Скорость атаки питомцев,% Szybkości ataku pupila,% Velocidad de ataque de mascota,% Vel. de Ataque do Pet,% Haustier-Angriffstempo,% Evcil Hayvan Saldırı Hızı,% Velocità d'attacco famiglio
CHARACTER_FANTASY_ELF,Elf,Elfe,精灵,エルフ,엘프,精靈,Эльф,Elf,Elfo,Elfo,Elf,Elf,Elfo
EFFECT_FANTASY_TREE_RADIUS_TEMPSTATS,When within tree range {2} {1}{0},Dans le rayon de l'arbre {2} {1}{0},在树范围{2}内时有{1}{0},木の範囲内{2}にいるとき{1}{0},나무 범위 {2} 내에 있을 때 {1}{0},在樹範圍{2}內時有{1}{0},Находясь в радиусе дерева {2} {1}{0},Gdy w zasięgu drzewa {2} {1}{0},Estando cerca del árbol {2} {1}{0},Quando no alcance da árvore {2} {1}{0},Im Baum-Radius {2} {1}{0},Ağaç menzili içindeyken {2} {1}{0},Quando nel raggio dell'albero {2} {1}{0}
EFFECT_FANTASY_CANNOT_DAMAGE_TREE,"Cannot damage trees, nor can trees damage you","Ne peut pas endommager les arbres, ni être endommagé par eux","无法伤害树,树也不会伤害你","木にダメージを与えられず,木からもダメージを受けない","나무를 피해할 수 없고, 나무도 당신을 피해할 수 없습니다","無法傷害樹,樹也不會傷害你","Не может наносить урон деревьям, и деревья не могут наносить урон вам","Nie można uszkodzić drzew, ani drzewa nie mogą uszkodzić ciebie","No puedes dañar a los árboles, ni los árboles pueden dañarte","Não pode danificar árvores, nem árvores podem danificá-lo",Kann Bäumen keinen Schaden zufügen und Bäume können dir keinen Schaden zufügen,Ağaçlara hasar veremezsiniz ve ağaçlar da size hasar veremez,"Non puoi danneggiare gli alberi, né loro possono danneggiare te"
CHARACTER_FANTASY_SLAVE,Slave,Esclave,奴隶,奴隷,노예,奴隸,Раб,Niewolnik,Esclavo,Escravo,Sklave,Köle,Schiavo
CHARACTER_FANTASY_GOBLIN_SLAYER,Goblin Slayer,Tueur de gobelins,哥布林杀手,ゴブリンスレイヤー,고블린 슬레이어,哥布林殺手,Убийца гоблинов,Pogromca goblinów,Asesino de goblins,Matador de Goblins,Goblin-Jäger,Goblin Avcısı,Sterminatore di Goblin
EFFECT_FANTASY_BONUS_DROP_FROM_TARGET,{3} extra drop {0} materials,{3} drop supplémentaire de {0} matériaux,{3}额外掉落{0}个材料,{3} 追加ドロップ {0} 素材,{3} 추가 드롭 {0} 재료,{3}額外掉落{0}個材料,{3} дополнительно роняет {0} материалов,{3} dodatkowy łup {0} materiałów,{3} suelta extra {0} materiales,{3} drop extra de {0} materiais,{3} zusätzlicher Drop {0} Materialien,{3} ekstra {0} malzeme düşürür,{3} drop extra di {0} materiali
EFFECT_FANTASY_EXTRA_ENEMIES_EACH_WAVE_BY_STAT,Additional {0} {1} spawned per wave,{0} {1} supplémentaire apparaît par vague,每波额外生成{0}个{1},ウェーブごとに追加で{0} {1}が出現,웨이브마다 추가로 {0} {1}이(가) 생성됩니다,每波額外生成{0}個{1},Дополнительно {0} {1} появляется за волну,Dodatkowo {0} {1} pojawia się na falę,{0} {1} adicional aparece por oleada,{0} {1} adicional(is) gerado(s) por onda,Zusätzlich {0} {1} erscheinen pro Welle,Dalga başına ek {0} {1} doğar,{0} {1} aggiuntivo generato per ondata
EFFECT_FANTASY_ON_TARGET_ENEMY_KILLED_BUFF_FUTURE_TARGET_ENEMY,"For every {2} kills of {0}, all future {1} {4}{3}
{5}","Pour chaque {2} {0} tués, tous les futurs {1} {4}{3}
{5}","每击杀{2}个{0},未来所有{1}{4}{3}
{5}","{0}を{2}体倒すごとに,以降のすべての{1}は{4}{3}
{5}","{0}을(를) {2}마리 처치할 때마다, 이후의 모든 {1}이(가) {4}{3}
{5}","每擊殺{2}個{0},未來所有{1}{4}{3}
{5}","За каждые {2} убийств {0} все будущие {1} {4}{3}
{5}","Za każde {2} zabójstw {0}, wszystkie przyszłe {1} {4}{3}
{5}","Por cada {2} muertes de {0}, todos los futuros {1} {4}{3}
{5}","Para cada {2} mortes de {0}, todos os futuros {1} {4}{3}
{5}","Für je {2} Tötungen von {0} werden alle zukünftigen {1} {4}{3}
{5}","Her {2} {0} öldürmede, gelecekteki tüm {1} {4}{3}
{5}","Per ogni {2} uccisioni di {0}, tutti i futuri {1} {4}{3}
{5}"
CHARACTER_FANTASY_MAGIC_SWORDSMAN,Magic Swordsman,Épéiste magique,魔剑士,マジックソードマン,마법 검사,魔劍士,Волшебный мечник,Magiczny szermierz,Espadachín mágico,Espadachim mágico,Magischer Schwertkämpfer,Sihirli Kılıç Ustası,Spadaccino magico
EFFECT_FANTASY_SCRAP_SPECIFIC_TIER_WEAPONS_FOR_ITEMS,"Upon entering the shop, destroy all Tier {0} weapons. Gain {1} {3} for every {2} destroyed","En entrant dans la boutique, détruisez toutes les armes de niveau {0}. Gagnez {1} {3} pour chaque {2} détruites","进入商店时,销毁所有{0}级武器,每销毁{2}把获得{1}个{3}","ショップに入ると,ティア{0}の武器をすべて破壊する.{2}本破壊するごとに{1} {3}を得る","상점에 들어갈 시, 모든 {0} 등급 무기를 파괴합니다. {2}개 파괴할 때마다 {1} {3}을(를) 얻습니다","進入商店時,銷毀所有{0}級武器,每銷毀{2}把獲得{1}個{3}",При входе в магазин уничтожает всё оружие {0} уровня. Получает {1} {3} за каждые {2} уничтоженных,Po wejściu do sklepu niszczy całą broń poziomu {0}. Zyskuje {1} {3} za każde {2} zniszczone,"Al entrar en la tienda, destruye todas las armas de nivel {0}. Gana {1} {3} por cada {2} destruidas","Ao entrar na loja, destrói todas as armas de Grau {0}. Ganha {1} {3} para cada {2} destruídas",Beim Betreten des Ladens werden alle Waffen der Stufe {0} zerstört. Erhalte {1} {3} für jede {2} zerstörte,"Dükkana girince, tüm Kademe {0} silahlar yok edilir. Her {2} yok edilen için {1} {3} kazan","Entrando nel negozio, distruggi tutte le armi di Livello {0}. Guadagni {1} {3} per ogni {2} distrutte"
CHARACTER_FANTASY_CULTIST,Cultist,Cultiste,邪教徒,カルティスト,광신도,邪教徒,Культист,Kultysta,Cultista,Cultista,Kultist,Kültist,Cultista
EFFECT_FANTASY_CURSED_KILL_HEALING,"{0} HP on cursed enemy killed
{1}","{0} PV en tuant un ennemi maudit
{1}","击杀被诅咒的敌人时{0} HP
{1}","呪われた敵を倒すと{0} HP
{1}","저주받은 적 처치 시 {0} HP
{1}","擊殺被詛咒的敵人時{0} HP
{1}","{0} ОЗ при убийстве проклятого врага
{1}","{0} PŻ za zabicie przeklętego wroga
{1}","{0} de Vida al matar a un enemigo maldito
{1}","{0} de PV ao matar um inimigo amaldiçoado
{1}","{0} LP beim Töten eines verfluchten Gegners
{1}","Lanetli düşman öldürmede {0} Can
{1}","{0} PV uccidendo un nemico maledetto
{1}"
EFFECT_FANTASY_LOSE_HP_PER_SECOND_MIN_HP,"When taking damage per second, keep at least {0} HP","En subissant des dégâts par seconde, conservez au moins {0} PV","每秒受到伤害时, 至少保留{0} HP","毎秒ダメージを受ける際,最小HPは{0}を下回らない","초당 피해를 받을 때, 최소 {0} HP는 유지합니다","每秒受到傷害時,至少保留{0} HP","При получении урона в секунду, сохраняется минимум {0} ОЗ","Otrzymując obrażenia na sekundę, zachowaj przynajmniej {0} PŻ","Al recibir daño por segundo, mantén al menos {0} de Vida","Ao sofrer dano por segundo, mantenha pelo menos {0} de PV",Beim Erleiden von Schaden pro Sekunde mindestens {0} LP behalten,Saniyede hasar alırken en az {0} Can tut,"Quando subisci danni al secondo, mantieni almeno {0} PV"
EFFECT_FANTASY_LOSE_HP_PER_SECOND_STOP_THRESHOLD,Immune to taking damage per second when current HP is below {0} of max HP,Immunité aux dégâts par seconde lorsque les PV actuels sont inférieurs à {0} des PV max,当前生命值低于{0}最大生命值时，免疫每秒受到伤害的效果,現在のHPが最大HPの{0}を下回ると、毎秒受けるダメージを無効化,"현재 체력이 최대 체력의 {0} 미만일 때, 초당 피해 효과를 면역",當前生命值低於{0}最大生命值時，免疫每秒受到傷害的效果,"Иммунитет к получению урона в секунду, если текущее здоровье ниже {0} от максимального","Odporność na obrażenia co sekundę, gdy obecne HP jest poniżej {0} maksymalnego HP",Inmune al daño por segundo cuando la vida actual está por debajo de {0} de la vida máxima,Imune a dano por segundo quando a vida atual estiver abaixo de {0} da vida máxima,"Immun gegen Schaden pro Sekunde, wenn die aktuellen LP unter {0} der maximalen LP liegen",Mevcut can maksimum canın {0} altındayken saniye başına hasar alma etkisine bağışıklık,Immunità ai danni al secondo quando i PV attuali sono inferiori a {0} dei PV massimi
CHARACTER_FANTASY_CARDINAL,Cardinal,Cardinal,主教,カーディナル,추기경,主教,Кардинал,Kardynał,Cardenal,Cardeal,Kardinal,Kardinal,Cardinale
EFFECT_FANTASY_SACRIFICIAL_CIRCLE,"A ritual area with radius {0} exists at the center of the map. Every {1} enemies killed within the ritual area {2} {3}, and spawn {4} materials and {5} {6} at the ritual center","Une zone rituelle d'un rayon de {0} existe au centre de la carte. Tous les {1} ennemis tués dans la zone rituelle {2} {3}, et fait apparaître {4} matériaux et {5} {6} au centre du rituel","地图中心存在半径为{0}的仪式区域.每在仪式区域内击杀{1}名敌人 {2}{3},并在仪式中心生成{4}材料和{5}{6}","マップ中央に半径{0}の儀式エリアが存在する.儀式エリア内で敵を{1}体倒すごとに{2}{3},儀式の中心に{4}素材と{5}{6}が出現する","맵 중앙에 반경 {0}의 의식 구역이 있습니다. 의식 구역 내에서 적 {1}마리를 처치할 때마다 {2}{3}하고, 의식 중심에 {4} 재료와 {5} {6}이(가) 생성됩니다","地圖中心存在半徑為{0}的儀式區域.每在儀式區域內擊殺{1}名敵人 {2}{3},並在儀式中心生成{4}材料和{5}{6}","Ритуальная зона радиусом {0} существует в центре карты. За каждые {1} врагов, убитых в ритуальной зоне, {2} {3}, и появляется {4} материалов и {5} {6} в центре ритуала","W centrum mapy istnieje obszar rytualny o promieniu {0}. Co {1} wrogów zabitych w obszarze rytualnym {2} {3}, i pojawia się {4} materiałów i {5} {6} w centrum rytuału","Existe un área ritual de radio {0} en el centro del mapa. Cada {1} enemigos asesinados dentro del área ritual {2} {3}, y aparecen {4} materiales y {5} {6} en el centro ritual","Uma área ritual com raio {0} existe no centro do mapa. A cada {1} inimigos mortos dentro da área ritual {2} {3}, e gera {4} materiais e {5} {6} no centro do ritual","Ein Ritualbereich mit Radius {0} existiert in der Kartenmitte. Jede {1} im Ritualbereich getöteten Gegner {2} {3}, und es erscheinen {4} Materialien und {5} {6} im Ritualzentrum",Haritanın merkezinde yarıçapı {0} olan bir ritüel alanı vardır. Ritüel alanında öldürülen her {1} düşman {2} {3} ve ritüel merkezinde {4} malzeme ve {5} {6} belirir,"Un'area rituale di raggio {0} esiste al centro della mappa. Ogni {1} nemici uccisi nell'area rituale {2} {3}, e compaiono {4} materiali e {5} {6} al centro rituale"
EFFECT_FANTASY_SACRIFICIAL_CIRCLE_NO_STAT,"A ritual area with a radius of {0} exists at the center of the map. For every {1} enemies killed within the ritual area, {4} materials and {5}{6} are spawned at the ritual center.",Une zone rituelle d'un rayon de {0} se trouve au centre de la carte. Tous les {1} ennemis tués dans la zone rituelle font apparaître {4} matériaux et {5}{6} au centre du rituel.,"地图中心存在半径为{0}的仪式区域.每在仪式区域内击杀{1}名敌人,则在仪式中心生成{4}材料和{5}{6}","マップ中央に半径{0}の儀式エリアが存在する.儀式エリア内で敵を{1}体倒すごとに,儀式の中心に{4}の素材と{5}{6}を生成する",맵 중앙에 반경 {0}의 의식 구역이 존재합니다. 의식 구역 내에서 적을 {1}마리 처치할 때마다 의식 중앙에 {4}개의 재료와 {5}{6}이(가) 생성됩니다.,"地圖中心存在半徑為{0}的儀式區域.每在儀式區域內擊殺{1}名敵人,則在儀式中心生成{4}材料和{5}{6}",В центре карты существует ритуальная зона радиусом {0}. За каждые {1} убитых врагов в зоне ритуала в центре появляется {4} материалов и {5}{6},"Na środku mapy znajduje się obszar rytualny o promieniu {0}. Co {1} zabitych wrogów w obszarze rytualnym, w jego centrum pojawia się {4} materiałów i {5}{6}",En el centro del mapa hay un área ritual de radio {0}. Cada {1} enemigos asesinados en el área ritual genera {4} materiales y {5}{6} en el centro del ritual.,"No centro do mapa existe uma área ritual de raio {0}. A cada {1} inimigos mortos na área ritual, {4} materiais e {5}{6} são gerados no centro do ritual.",Im Zentrum der Karte existiert ein Ritualbereich mit einem Radius von {0}. Für je {1} im Ritualbereich getötete Gegner erscheinen {4} Materialien und {5}{6} im Ritualzentrum.,"Haritanın merkezinde yarıçapı {0} olan bir ritüel alanı bulunur. Ritüel alanında öldürülen her {1} düşman için, ritüel merkezinde {4} malzeme ve {5}{6} oluşur.",Al centro della mappa esiste un'area rituale di raggio {0}. Ogni {1} nemici uccisi nell'area rituale fa apparire {4} materiali e {5}{6} al centro del rituale.
EFFECT_FANTASY_ADD_STAT_WHEN_PICKUP_CONSUMABLE,"Every time you pick up {0} {1}, {2}{3}","Chaque fois que vous ramassez {0} {1}, {2}{3}","每捡起{0}个{1},则{2}{3}",{0}個の{1}を拾うたびに{2}{3},{0}개의 {1}을(를) 획득할 때마다 {2}{3},"每撿起{0}個{1},則{2}{3}","Каждый раз, когда вы подбираете {0} {1}, {2}{3}","Za każdym razem, gdy zbierzesz {0} {1}, {2}{3}","Cada vez que recoges {0} {1}, {2}{3}","Cada vez que você pega {0} {1}, {2}{3}","Jedes Mal, wenn du {0} {1} aufsammelst, {2}{3}",Her {0} {1} aldığınızda {2}{3},"Ogni volta che raccogli {0} {1}, {2}{3}"
CHARACTER_FANTASY_BARD,Bard,Barde,吟游诗人,吟遊詩人,음유시인,吟遊詩人,Бард,Bard,Bardo,Bardo,Barde,Ozan,Bardo
EFFECT_FANTASY_DANCE,"After {0} hits on an enemy, it dances for {1} seconds ({2} seconds for elites and bosses). While dancing, it moves away from you, cannot target you, and sways from side to side.","Après {0} coups sur un ennemi, il danse pendant {1} secondes ({2} secondes pour les élites et les boss). En dansant, il s'éloigne de vous, ne peut pas vous cibler et oscille de gauche à droite.","第{0}次命中敌人后让敌人跳舞{1}秒(精英和头目为{2}秒),期间敌人会远离你,无法索敌你,并且会左右摇晃","敵に{0}回命中した後,その敵は{1}秒間踊る(エリートとボスは{2}秒).踊っている間,敵はあなたから離れ,あなたを標的にできず,左右に揺れる.","적에게 {0}회 공격을 적중시키면, 적이 {1}초 동안 춤을 춥니다(엘리트와 보스는 {2}초). 춤추는 동안 적은 당신에게서 멀어지고, 당신을 대상으로 삼을 수 없으며, 좌우로 흔들립니다.","第{0}次命中敵人後讓敵人跳舞{1}秒(菁英和頭目為{2}秒),期間敵人會遠離你,無法索敵你,並且會左右搖晃","После {0} попаданий по врагу он танцует {1} секунд ({2} секунд для элит и боссов). Во время танца он отходит от вас, не может вас выбрать целью и покачивается из стороны в сторону.","Po {0} trafieniach we wroga, tańczy on przez {1} sekund ({2} sekund dla elit i bossów). Podczas tańca odsuwa się od ciebie, nie może cię obrać za cel i kołysze się na boki.","Después de {0} impactos a un enemigo, este baila durante {1} segundos ({2} segundos para élites y jefes). Mientras baila, se aleja de ti, no puede apuntarte y se balancea de un lado a otro.","Após {0} acertos em um inimigo, ele dança por {1} segundos ({2} segundos para elites e chefes). Enquanto dança, ele se afasta de você, não pode mirar em você e balança de um lado para o outro.","Nach {0} Treffern auf einen Gegner tanzt dieser für {1} Sekunden ({2} Sekunden für Eliten und Bosse). Während des Tanzens entfernt er sich von dir, kann dich nicht ins Visier nehmen und schwankt hin und her.","Bir düşmana {0} isabet, {1} saniyeliğine dans etmesini sağlar (elitler ve bosslar için {2} saniye). Dans ederken sizden uzaklaşır, sizi hedef alamaz ve iki yana sallanır.","Dopo {0} colpi su un nemico, questo balla per {1} secondi ({2} secondi per élite e boss). Mentre balla, si allontana da te, non può prenderti di mira e ondeggia a destra e sinistra."
EFFECT_FANTASY_BASE_CHANCE_DROP_SOUL,{0} % base soul drop rate,{0} % de chances de base de butin d'âme,{0} %魂的基础掉率,{0}% 基本魂ドロップ率,{0}% 기본 영혼 드롭률,{0}%魂的基礎掉率,{0} % базовая вероятность выпадения души,{0}% podstawowej szansy na duszę,{0}% de tasa base de almas,{0}% de chance base de drop de alma,{0} % Grundseelen-Fundchance,{0}% temel ruh düşürme oranı,{0}% tasso base di drop anime
CHARACTER_FANTASY_NUN,Nun,Nun,修女,修道女,수녀,修女,Nun,Nun,Nun,Nun,Nun,Nun,Nun
CHARACTER_FANTASY_CLOCK_TOWER_GUARDIAN,Clock Tower Guardian,Clock Tower Guardian,时计塔的守护者,Clock Tower Guardian,Clock Tower Guardian,時計塔的守護者,Clock Tower Guardian,Clock Tower Guardian,Clock Tower Guardian,Clock Tower Guardian,Clock Tower Guardian,Clock Tower Guardian,Clock Tower Guardian
EFFECT_FANTASY_STATIONARY_TEMP_STATS_PER_INTERVAL,"While standing still, gain {0} {1} every {2} second(s) until the end of the wave","While standing still, gain {0} {1} every {2} second(s) until the end of the wave","站立不动时每{2}秒+{0}{1},直到敌袭结束","While standing still, gain {0} {1} every {2} second(s) until the end of the wave","While standing still, gain {0} {1} every {2} second(s) until the end of the wave","站立不動時每{2}秒+{0}{1},直到敵襲結束","While standing still, gain {0} {1} every {2} second(s) until the end of the wave","While standing still, gain {0} {1} every {2} second(s) until the end of the wave","While standing still, gain {0} {1} every {2} second(s) until the end of the wave","While standing still, gain {0} {1} every {2} second(s) until the end of the wave","While standing still, gain {0} {1} every {2} second(s) until the end of the wave","While standing still, gain {0} {1} every {2} second(s) until the end of the wave","While standing still, gain {0} {1} every {2} second(s) until the end of the wave"
EFFECT_FANTASY_STATIONARY_PERCENT_STAT_PER_INTERVAL,"While standing still, gain {0}% of current {1} every {2} second(s) until the end of the wave","While standing still, gain {0}% of current {1} every {2} second(s) until the end of the wave","站立不动时每{2}秒+{0}%{1},直到敌袭结束","While standing still, gain {0}% of current {1} every {2} second(s) until the end of the wave","While standing still, gain {0}% of current {1} every {2} second(s) until the end of the wave","站立不動時每{2}秒+{0}%{1},直到敵襲結束","While standing still, gain {0}% of current {1} every {2} second(s) until the end of the wave","While standing still, gain {0}% of current {1} every {2} second(s) until the end of the wave","While standing still, gain {0}% of current {1} every {2} second(s) until the end of the wave","While standing still, gain {0}% of current {1} every {2} second(s) until the end of the wave","While standing still, gain {0}% of current {1} every {2} second(s) until the end of the wave","While standing still, gain {0}% of current {1} every {2} second(s) until the end of the wave","While standing still, gain {0}% of current {1} every {2} second(s) until the end of the wave"
EFFECT_FANTASY_CANNOT_ATTACK_WHILE_STATIONARY,Cannot attack while standing still,Cannot attack while standing still,站立时无法攻击,Cannot attack while standing still,Cannot attack while standing still,站立時無法攻擊,Cannot attack while standing still,Cannot attack while standing still,Cannot attack while standing still,Cannot attack while standing still,Cannot attack while standing still,Cannot attack while standing still,Cannot attack while standing still
WEAPON_FANTASY_FAKE_BRAVE_SWORD,Fake Brave Sword,Fausse épée du brave,伪·勇者之剑,偽・勇者の剣,가짜 용사의 검,偽·勇者之劍,Поддельный меч храбреца,Falszywy miecz odważnych,Espada falsa del valiente,Falsa espada do corajoso,Falsches Mutigen-Schwert,Sahte Cesur Kılıç,Falsa spada del coraggioso
EFFECT_FANTASY_SHOP_ENTER_SYNTHESIS,"Upon entering the shop, there is a {0}% chance to synthesize {1} into {2}
{3}","En entrant dans la boutique, il y a {0} de chance de synthétiser {1} en {2}
{3}","进入商店时,有{0}%概率将{1}融合成{2}
{3}","ショップに入ると,{0}%の確率で{1}を{2}に合成する
{3}","상점에 들어갈 시, {0} 확률로 {1}을(를) {2}(으)로 합성합니다
{3}","進入商店時,有{0}%機率將{1}融合成{2}
{3}","При входе в магазин есть шанс {0} синтезировать {1} в {2}
{3}","Po wejściu do sklepu jest {0} szansy na zsyntetyzowanie {1} w {2}
{3}","Al entrar en la tienda, hay una probabilidad de {0} de sintetizar {1} en {2}
{3}","Ao entrar na loja, há {0} de chance de sintetizar {1} em {2}
{3}","Beim Betreten des Ladens besteht eine {0}-Chance, {1} zu {2} zu synthetisieren
{3}","Dükkana girerken, {1} eşyasını {2} ile sentezleme şansı {0}
{3}","Entrando nel negozio, c'è una probabilità del {0} di sintetizzare {1} in {2}
{3}"
EFFECT_FANTASY_GEAR_SHOP_ENTER_SYNTHESIS,"Upon entering the shop, if you have {1}, there is a {0}% chance to synthesize them into {2}
{3}","En entrant dans la boutique, cet objet ou cette arme a {0} de chance de se synthétiser avec {1} en {2}
{3}","进入商店时,若拥有{1},有{0}%概率融合成{2}
{3}","ショップに入ると,このアイテムまたは武器は{0}%の確率で{1}と合成され{2}になる
{3}","상점에 들어갈 시, 이 아이템이나 무기에 {0} 확률로 {1}와(과) 합성되어 {2}이(가) 됩니다
{3}","進入商店時,若擁有{1},有{0}%機率融合成{2}
{3}","При входе в магазин этот предмет или оружие имеет шанс {0} синтезироваться с {1} в {2}
{3}","Po wejściu do sklepu ten przedmiot lub broń ma {0} szansy na syntezę z {1} w {2}
{3}","Al entrar en la tienda, este objeto o arma tiene una probabilidad del {0} de sintetizarse con {1} en {2}
{3}","Ao entrar na loja, este item ou arma tem {0} de chance de se sintetizar com {1} em {2}
{3}","Beim Betreten des Ladens hat dieser Gegenstand oder diese Waffe eine {0}-Chance, mit {1} zu {2} synthetisiert zu werden
{3}","Dükkana girerken, bu eşya veya silahın {1} ile sentezlenerek {2} olma şansı {0}
{3}","Entrando nel negozio, questo oggetto o arma ha il {0} di probabilità di essere sintetizzato con {1} in {2}
{3}"
WEAPON_FANTASY_BRAVE_SWORD,Brave Sword,Épée du brave,勇者之剑,勇者の剣,용사의 검,勇者之劍,Меч храбреца,Miecz odważnych,Espada del valiente,Espada do corajoso,Mutigen-Schwert,Cesur Kılıç,Spada del coraggioso
EFFECT_FANTASY_PROJECTILES_EVERY_X_MELEE_SHOOT,"Every {0} melee attacks, shoot projectiles dealing {1} damage","Toutes les {0} attaques de mêlée, tirez des projectiles infligeant {1} dégâts","每{0}次近战攻击,发射伤害为{1}的投射物","近接攻撃{0}回ごとに,{1}ダメージの投射物を発射する","근접 공격 {0}회마다, {1} 피해의 투사체 발사","每{0}次近戰攻擊,發射傷害為{1}的投射物","Каждые {0} атак ближнего боя, выпускает снаряды с уроном {1}",Co {0} ataków wręcz strzela pociskami zadającymi {1} obrażeń,"Cada {0} ataques cuerpo a cuerpo, dispara proyectiles que infligen {1} de daño","A cada {0} ataques corpo a corpo, dispara projéteis causando {1} de dano","Alle {0} Nahkampfangriffe werden Projektile abgefeuert, die {1} Schaden verursachen",Her {0} yakın dövüş saldırısında {1} hasar veren mermiler at,"Ogni {0} attacchi in mischia, spara proiettili che infliggono {1} danni"
WEAPON_FANTASY_MOONLIGHT_RAPIER,Moonlight Rapier,Rapière clair de lune,月光细剑,月光のレイピア,월광 레이피어,月光細劍,Лунная рапира,Księżycowy rapier,Estoque luz de luna,Rapieira luar,Mondschein-Rapier,Ay Işığı Rapierası,Stocco al chiaro di luna
EFFECT_FANTASY_SLOW_ENEMY_ON_CRIT,Slow surrounding enemies on crit,Ralentit les ennemis environnants sur un coup critique,暴击时使周围敌人减速,クリティカル時に周囲の敵を減速,치명타 시 주변 적 감속,暴擊時使周圍敵人減速,Замедляет окружающих врагов при крите,Spowalnia otaczających wrogów przy trafieniu krytycznym,Ralentiza a los enemigos circundantes con un crítico,Reduz a velocidade dos inimigos ao redor ao causar crítico,Verlangsamt umstehende Gegner bei krit. Treffer,Kritik vuruşta çevredeki düşmanları yavaşlat,Rallenta i nemici circostanti con colpo critico
WEAPON_FANTASY_HOLY_BATTLEAXE,Holy Battleaxe,Hache de bataille sacrée,圣战斧,聖戦斧,성스러운 전투도끼,聖戰斧,Священная секира,Święty topór bojowy,Hacha de batalla sagrada,Machado de batalha sagrado,Heilige Streitaxt,Kutsal Savaş Baltası,Ascia da battaglia sacra
WEAPON_FANTASY_WIND_BOW,Wind Bow,Arc du vent,风之弓,風の弓,바람의 활,風之弓,Лук Ветра,Łuk Wiatru,Arco del Viento,Arco do Vento,Windbogen,Rüzgar Yayı,Arco del Vento
WEAPON_FANTASY_SLEEVE_ARROW,Sleeve Arrow,Flèche de manche,袖箭,袖矢,팔뚝 수갑화살,袖箭,Рукавная стрела,Strzała z rękawa,Flecha de manga,Flecha de Punho,Ärmelpfeil,Kol Oku,Freccia da Polso
EFFECT_RELOAD_WHEN_CRITICALLY_HIT,"On critical hit, there is a {0} chance to reset cooldown.","En cas de coup critique, il y a {0} de chances de réinitialiser le temps de recharge.",暴击时有{0}概率重置冷却,"クリティカルヒット時,{0}の確率でクールダウンをリセットする.",치명타 시 {0} 확률로 재사용 대기시간이 초기화됩니다.,暴擊時有{0}機率重置冷卻,При критическом попадании с шансом {0} сбрасывает перезарядку.,"Przy trafieniu krytycznym, {0} szans na zresetowanie czasu odnowienia.","Al asestar un golpe crítico, hay un {0} de probabilidad de reiniciar el enfriamiento.","Ao causar um acerto crítico, há {0} de chance de reiniciar o tempo de recarga.","Bei einem kritischen Treffer besteht eine {0} Chance, die Abklingzeit zurückzusetzen.","Kritik vuruşta, {0} ihtimalle bekleme süresi sıfırlanır.","Con un colpo critico, {0} di probabilità di azzerare il tempo di ricarica."
WEAPON_CLASS_FANTASY_FAKE_LEGENDARY,Fake Legendary,Faux légendaire,伪传奇,偽レジェンダリー,가짜 전설,偽傳奇,Поддельный легендарный,Fałszywy legendarny,Falso legendario,Falso Lendário,Gefälscht Legendär,Sahte Efsanevi,Falso Leggendario
ITEM_FANTASY_SALTED_DUCK_EGG,Salted Duck Egg,Œuf de cane salé,咸鸭蛋,アヒルの塩漬け卵,오리알 염장,鹹鴨蛋,Солёное утиное яйцо,Solone jajko kaczki,Huevo de pato salgado,Ovo de pato salgado,Gesalzenes Entenei,Tuzlu ördek yumurtası,Uovo di anatra salato
FANTASY_PITY_BONUS_CHANCE,Next chance bonus: +{0}%,Bonus de chance suivant: +{0}%,下次概率加成: +{0}%,次回確率ボーナス: +{0}%,다음 확률 보너스: +{0}%,下次機率加成: +{0}%,Бонус к следующему шансу: +{0}%,Premia do następnej szansy: +{0}%,Bonificación de probabilidad siguiente: +{0}%,Bônus da próxima chance: +{0}%,Nächster Chancenbonus: +{0}%,Sonraki şans bonusu: +{0}%,Bonus probabilità successiva: +{0}%
WEAPON_FANTASY_KUNAI,Kunai,Kunaï,苦无,クナイ,쿠나이,苦無,Кунай,Kunai,Kunai,Kunai,Kunai,Kunai,Kunai
FANTASY_CHAIN_DAMAGE_MULT,Chain Mod: ,Mod. Chaîne: ,链变: ,連鎖倍率: ,연쇄 배율: ,鏈變: ,Мод. цепи: ,Modyf. łańcucha: ,Mod. de cadena: ,Mod. de corrente: ,Kettenmod.: ,Zincir Mod.: ,Mod. catena: 
FANTASY_CHAIN_DAMAGE_MULT_FORMATTED,{0}{1},{0}{1},{0}{1},{0}{1},{0}{1},{0}{1},{0}{1},{0}{1},{0}{1},{0}{1},{0}{1},{0}{1},{0}{1}
FANTASY_CHAIN_TARGETS,Chain Targets: ,Cibles en chaîne: ,连锁: ,連鎖: ,연쇄 대상: ,連鎖: ,Цели цепи: ,Cele łańcucha: ,Objetivos de cadena: ,Alvos em cadeia: ,Kettenziele: ,Zincir Hedefleri: ,Obiettivi a catena: 
